,static + MTR,frozen token mean + MTR,frozen token max + MTR,frozen token cls + MTR,frozen sentence + MTR,fine-tuned LoRA,augmented
static + MTR,1.0,0.039,0.0,0.0,0.0,0.0,0.0
frozen token mean + MTR,0.039,1.0,0.0,0.0,0.0,0.0,0.0
frozen token max + MTR,0.0,0.0,1.0,0.0009,0.0,0.0,0.0
frozen token cls + MTR,0.0,0.0,0.0009,1.0,0.0,0.008,0.0
frozen sentence + MTR,0.0,0.0,0.0,0.0,1.0,0.0,0.0
fine-tuned LoRA,0.0,0.0,0.0,0.008,0.0,1.0,0.0
augmented,0.0,0.0,0.0,0.0,0.0,0.0,1.0
