,static + MTR,frozen token mean + MTR,frozen token max + MTR,frozen token cls + MTR,frozen sentence + MTR,fine-tuned LoRA,augmented
static + MTR,1.0,0.9956775319208984,0.0050508644392727176,7.400070913821111e-07,0.0023428370888997074,2.516669828089846e-08,2.9691626934891246e-09
frozen token mean + MTR,0.9956775319208984,1.0,0.042172655338098,2.217483862532177e-05,0.00015392223989962872,1.078672747123477e-06,3.7832958987849e-11
frozen token max + MTR,0.0050508644392727176,0.042172655338098,1.0,0.49985701763343193,1.5218937221561646e-12,0.18242526725555375,0.0
frozen token cls + MTR,7.400070913821111e-07,2.217483862532177e-05,0.49985701763343193,1.0,0.0,0.9976676552838468,0.0
frozen sentence + MTR,0.0023428370888997074,0.00015392223989962872,1.5218937221561646e-12,0.0,1.0,0.0,0.1344479746137689
fine-tuned LoRA,2.516669828089846e-08,1.078672747123477e-06,0.18242526725555375,0.9976676552838468,0.0,1.0,0.0
augmented,2.9691626934891246e-09,3.7832958987849e-11,0.0,0.0,0.1344479746137689,0.0,1.0
